"Timestamp","Total score","What do you prefer","What do you prefer [Score]","What do you prefer [Feedback]","What do you prefer","What do you prefer [Score]","What do you prefer [Feedback]"
"2026/03/17 3:04:28 PM AST","0.00 / 0","Dogs","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:04:42 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:07:37 PM AST","0.00 / 0","Cats","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/17 3:08:13 PM AST","0.00 / 0","Dogs","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:08:33 PM AST","0.00 / 0","Dogs","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/17 3:08:48 PM AST","0.00 / 0","Dogs","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:14:33 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:18:41 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:23:23 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 3:29:53 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/17 8:02:14 PM AST","0.00 / 0","Dogs","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/17 8:41:42 PM AST","0.00 / 0","Dogs","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/19 1:46:40 PM AST","0.00 / 0","Dogs","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/19 1:50:56 PM AST","0.00 / 0","Dogs","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/19 1:51:01 PM AST","0.00 / 0","Cats","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/19 1:51:05 PM AST","0.00 / 0","Dogs","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/19 1:51:11 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
"2026/03/19 1:51:17 PM AST","0.00 / 0","Dogs","-- / 0","","vanilla ice cream","-- / 0",""
"2026/03/19 2:16:18 PM AST","0.00 / 0","Cats","-- / 0","","chocolate ice cream","-- / 0",""
